lat,lon,row_idx,col_idx,elevation,slope,aspect,twi,curvature,rainfall_24h,rainfall_3h,river_distance,drainage_distance,flow_accumulation,soil_moisture,urban_density,road_distance,facility_distance,LST_C_mean,wind_speed_kmh,wind_gust_kmh,wind_dir_deg,wind_hazard_score,temp_max_C,apparent_temp_C,heat_index_C,uv_index,heat_hazard_score,heat_wave_flag,vegetation_cover,antecedent_rain_mm,factor_of_safety,landslide_susceptibility,in_roi,flood_occurred,landslide_occurred,wind_kmh,temp_C
30.5722,77.8813,124,64,1331.0,36.629086,294.437561,7.76382,-0.182683,88.235879,30.882558,1003.944544,836.796707,314.010104,0.2,0.0,6.958916,14911.600395,10.246227,21.487938,47.502908,107.637677,0.1791,19.49,18.18,19.49,5.8,0.1497,0,0.35,19.169292,0.739,0.437,1,0,1,21.487938,15.49
30.5722,77.8863,124,65,1423.0,23.361347,55.79496,8.252841,-0.182683,88.235879,30.882558,1114.811095,1217.138161,897.702568,0.2,0.0028,184.216508,15054.273527,10.777465,21.266423,47.096293,107.913094,0.1772,18.69,17.37,18.69,5.8,0.123,0,0.35,19.933971,1.374,0.269,1,0,0,21.266423,14.69
30.5722,77.8913,124,66,1471.0,19.012081,259.168457,8.449466,-0.182683,88.235879,30.882558,1392.218452,918.318912,1134.688103,0.2,0.0,173.996512,15157.853783,9.172448,21.044909,46.689678,108.188512,0.1754,18.17,16.84,18.17,5.8,0.1057,0,0.35,20.69865,1.754,0.1684,1,0,0,21.044909,14.17
30.5722,77.8963,124,67,1601.0,43.960823,110.640518,7.336079,-0.070952,88.235879,30.882558,1474.120317,601.11141,206.590344,0.2,0.0,173.325277,15275.794788,9.01919,21.66466,48.152899,108.46393,0.1805,17.78,16.44,17.78,5.8,0.0927,0,0.35,21.463329,0.539,0.4534,1,0,1,21.66466,13.78
30.5722,77.9013,124,68,1653.0,29.805531,201.164001,7.82119,-0.070952,88.235879,30.882558,1465.932164,583.09448,573.878099,0.2,0.0241,428.109936,15407.766911,9.740188,21.862716,48.684086,108.739347,0.1822,17.57,16.23,17.57,5.8,0.0857,0,0.35,22.228008,0.999,0.2851,1,0,0,21.862716,13.57
30.5722,77.9063,124,69,1469.0,33.792641,194.645432,7.78682,-0.111582,89.290386,31.251635,1465.934118,882.783614,729.230674,0.2,0.0,305.730546,15553.413138,11.856337,20.380367,45.469833,109.014765,0.1698,17.56,16.22,17.56,5.8,0.0853,0,0.35,22.992687,0.833,0.3249,1,0,0,20.380367,13.56
30.5722,77.9113,124,70,1612.0,21.951387,258.415009,8.201058,-0.111582,89.290386,31.251635,1493.303967,806.377289,727.995082,0.2,0.0,31.32782,15712.353361,11.330462,21.061969,47.08205,109.290183,0.1755,17.16,15.81,17.16,5.8,0.072,0,0.35,23.757367,1.476,0.2179,1,0,0,21.061969,13.16
30.5722,77.9163,124,71,1511.0,53.692108,177.624695,7.050654,-0.111582,89.290386,31.251635,1653.301582,350.042225,284.611036,0.2,0.0138,364.366345,15884.188662,10.999023,20.025063,44.853092,109.5656,0.1669,16.95,15.59,16.95,5.8,0.065,0,0.35,24.522046,0.354,0.4823,1,0,1,20.025063,12.95
30.5722,77.9213,124,72,1500.0,35.518589,288.512024,7.70299,0.068542,89.290386,31.251635,1776.195747,78.649829,498.916024,0.2,0.0,504.253125,16068.505492,9.00841,19.715824,44.249988,109.841018,0.1643,16.74,15.38,16.74,5.8,0.058,0,0.35,25.286725,0.77,0.4133,1,0,1,19.715824,12.74
30.5722,77.9263,124,73,1759.0,32.001648,158.835999,7.65705,0.068542,89.290386,31.251635,1769.411984,528.9599,449.820206,0.2,0.0,161.1143,16264.879668,9.384893,21.51392,48.385546,110.116436,0.1793,16.54,15.17,16.54,5.8,0.0513,0,0.35,26.051404,0.899,0.3065,1,0,0,21.51392,12.54
